codEstacao;municipio;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;04/04/2015;18:30:00.0;3,6
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;04/04/2015;18:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;01:20:00.0;0,2
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;01:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;01:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;01:50:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;02:00:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;02:10:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;02:20:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;02:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;02:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;02:50:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;03:00:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;03:10:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;03:20:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;03:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;03:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;03:50:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;04:00:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;04:10:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;04:20:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;04:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;04:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;04:50:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;05:00:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;05:10:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;05:20:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;05:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;05:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;05:50:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;06:00:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;06:10:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;06:20:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;06:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;06:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;06:50:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;07:00:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;07:10:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;07:20:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;07:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;07:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;07:50:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;08:00:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;08:10:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;08:20:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;08:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;08:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;08:50:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;09:00:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;09:10:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;09:20:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;09:30:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;09:40:00.0;0
280740201C;TOBIAS BARRETO;SE;TOBIAS BARRETO;-11.183.109;-38.094.339;08/04/2015;09:50:00.0;0
